id,mask_px,theta1_deg,pitch1_px,ac1,theta2_deg,pitch2_px,ac2,orientation,reason,tilt_deg,pitch1_m,pitch2_m,upslope_frac1,upslope_frac2,long_axis_upslope_frac
12,170735,0.0,16.0,0.8894957920926918,90.0,32.0,0.8052734172071032,portrait,,7.744692518137795,1.017,2.051,0.066,0.998,0.998
2065,155089,80.0,16.0,0.7940387078830256,170.0,26.0,0.6862420749433349,portrait,,10.113695094294126,1.023,1.674,0.437,0.9,0.9
2063,154653,80.0,16.0,0.7946603702647991,170.0,26.0,0.6667238974019237,portrait,,10.298597783058693,1.022,1.676,0.364,0.932,0.932
14,73895,0.0,16.0,0.8884759256779926,90.0,32.0,0.7763097355132557,portrait,,8.435308585270462,1.017,2.054,0.074,0.997,0.997
2618,77840,100.0,16.0,0.629359682446969,10.0,15.0,0.4215904694523294,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",22.058941558519276,1.045,1.022,0.383,0.924,
2069,72441,80.0,16.0,0.6997937801844396,170.0,14.0,0.3409651765371972,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",10.797517627241568,1.022,0.904,0.358,0.934,
2638,68975,140.0,17.0,0.8304183255785906,50.0,19.0,0.5445707019497579,landscape,,9.753275494056451,1.094,1.212,0.943,0.332,0.332
2434,66189,90.0,16.0,0.7542393794200208,0.0,39.0,0.5763186845381897,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",6.113863553055436,1.016,2.491,0.049,0.999,
3002,60550,0.0,17.0,0.7731119965360829,90.0,32.0,0.25464417442164256,portrait,,9.164940110254028,1.081,2.058,0.097,0.995,0.995
2430,62441,90.0,16.0,0.7385823484515001,0.0,38.0,0.4176049046769251,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",11.86056487001737,1.017,2.466,0.057,0.998,
2445,59724,90.0,16.0,0.6553462788025408,0.0,14.0,0.5864742222989113,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",26.81594168498106,1.021,0.996,0.048,0.999,
2435,58008,90.0,16.0,0.8048224114277631,0.0,39.0,0.5233955594447983,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",13.044556072458317,1.018,2.542,0.059,0.998,
2636,54028,10.0,16.0,0.6501601603218752,100.0,26.0,0.41013508527565495,portrait,,5.1256881670188505,1.018,1.657,0.396,0.918,0.918
2122,53490,170.0,31.0,0.6502962689681945,80.0,15.0,0.5515287232725515,landscape,,15.572964114226032,1.996,0.986,0.374,0.928,0.374
2447,55331,90.0,16.0,0.7911824228118122,0.0,15.0,0.46010995289106327,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",20.287059452200733,1.02,1.015,0.057,0.998,
2133,53356,80.0,20.0,0.8011230939505268,170.0,31.0,0.22969716084428904,unknown,both pitches match a module long axis; ambiguous,7.05218964051666,1.273,1.983,0.326,0.945,
595,47653,170.0,17.0,0.7423289990309291,80.0,17.0,0.562576353176031,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",13.396374766071109,1.091,1.107,0.373,0.928,
2614,46018,100.0,16.0,0.49337706004938714,10.0,15.0,0.34502071875551704,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",22.110817886403098,1.046,1.022,0.384,0.923,
2432,45352,90.0,16.0,0.8184883938395501,0.0,36.0,0.7132204739430452,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",21.90464299108975,1.02,2.464,0.051,0.999,
965,40286,120.0,12.0,0.7599170239009457,30.0,32.0,-0.1490501151563811,landscape,,21.26009224232503,0.812,2.095,0.898,0.44,0.44
2960,39088,20.0,17.0,0.5898397104091422,110.0,11.0,0.40201131798661066,portrait,,26.55975769438034,1.162,0.758,0.669,0.743,0.669
2443,39613,90.0,16.0,0.9068556835090478,0.0,30.0,0.7004428933844749,portrait,,20.72710907652651,1.02,2.037,0.061,0.998,0.998
2163,36456,160.0,32.0,0.8433377394709196,70.0,25.0,0.5677648350078632,unknown,both pitches match a module long axis; ambiguous,18.874024595596524,2.106,1.655,0.651,0.759,
2433,37255,90.0,16.0,0.7372926180959356,0.0,38.0,0.2577038604345136,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",18.711829829651045,1.018,2.548,0.041,0.999,
2606,35584,100.0,16.0,0.5373712266864075,10.0,15.0,0.42812238501149635,unknown,"no pitch within 30% of 1.65 m or 0.99 m; likely row pitch, not module pitch",22.135425368057472,1.046,1.022,0.385,0.923,
