system_id,gamma_pdc,tier,matched,n_candidates,technology,raw_manufacturer,raw_model,capacity_kw,module_watts,delta_vs_old
2,-0.005177770000000001,cec_module,ND208U1,2,multi-Si,Sharp,nd-208u1,2.912,291.2,-0.0006777700000000011
3,-0.00312,cec_technology,Thin Film,561,amorphous si,unisolar,pvl-136,2.72,194.28571428571428,0.0013799999999999997
4,-0.0031,cec_manufacturer,SANYO,110,mono-Si,Sanyo,hip-200ba3,1.0,200.0,0.0013999999999999998
10,-0.004155,cec_technology,CIGS,8,cis family thin-film,shell solar,eclipse 80,1.12,1120.0,0.0003449999999999998
33,-0.0045,fleet_default,cec_xsi_median,0,Unknown,silicor materials,240,2.4,2400.0,0.0
36,-0.0045,fleet_default,cec_xsi_median,0,Unknown,tenksolar,180/262 Watt,2.21,221.0,0.0
50,-0.0045,fleet_default,cec_xsi_median,0,Unknown,siemens,M55 c-SI,6.0,6000.0,0.0
51,-0.0045,fleet_default,cec_xsi_median,0,Unknown,siemens,M55 c-Si,6.0,6000.0,0.0
1207,-0.0043,cec_module,KD210GXLPU,1,multi-Si,kyocera,kd210gx-lpu,13.44,13440.0,0.00019999999999999966
1208,-0.00386,cec_module,SPR315EWHTD,1,mono-Si,SunPower,spr-315e-wht-d,2.7135081,1.6307140024038462,0.0006399999999999995
1214,-0.00417,cec_module,STP20018UB1,1,multi-Si,Suntech,stp200-18-ub-1,4.4,200.0,0.00032999999999999956
1216,-0.0036720000000000004,cec_module,SPR225BLKU,1,mono-Si,SunPower,spr-225-blk-u,8.1,225.0,0.0008279999999999993
1217,-0.004515,cec_technology,Multi-c-Si,11221,multi-Si,Evergreen,es-a-205,4.1,205.0,-1.5000000000000256e-05
1218,-0.0044,cec_module,POLY220,2,multi-Si,schott,poly 220,7.92,220.0,9.99999999999994e-05
1219,-0.004155,cec_technology,CIGS,8,cylindrical cigs,solyndra,sl-001-182,8.192,182.04444444444445,0.0003449999999999998
1220,-0.00386,cec_module,SPR305WHTU,1,mono-Si,SunPower,spr-305-wht-u,8.54,305.0,0.0006399999999999995
