sid,lat,lon,kw,yrs,climate,station,km,st_iwsr,st_y0,st_y1,st_ny,st_loss
11248,37.29222,-121.881711,3.78,5.4712,Csb,13063_ac_power_inv_23623,0.3,0.96,2015,2022,8,4.0000000000000036
10629,34.127819,-117.5246,3.92,4.6164,Csb,5379_dc_power_inv_5070,0.6,0.98,2017,2022,6,2.0000000000000018
10114,37.35115,-120.6056,3.06,12.2438,Bsk,13066_ac_power_inv_23712,1.1,0.9085000000000001,2015,2022,8,9.149999999999991
11066,34.125147,-117.45818,7.59,6.5205,Csa,5374_ac_power_inv_4970,1.2,0.9755,2017,2022,6,2.4499999999999966
10251,34.119245,-117.8548,4.32,5.4739,Csb,5361_ac_power_inv_4858,1.3,0.974,2017,2022,6,2.6000000000000023
11155,34.000578,-117.96943,9.1,5.9753,Csb,7165_ac_power_inv_14889,1.4,0.948,2010,2014,5,5.200000000000005
10063,37.295092,-121.89649,6.902,12.0739,Csb,13063_ac_power_inv_23623,1.6,0.96,2015,2022,8,4.0000000000000036
10092,32.216326,-110.88511,4.725,12.441,Bsh,5159_ac_power_inv_2715,1.6,0.988,2014,2022,9,1.200000000000001
11964,37.295092,-121.89649,3.96,6.315,Csb,13063_ac_power_inv_23623,1.6,0.96,2015,2022,8,4.0000000000000036
10250,33.831636,-116.462459,4.73,10.0739,Bwh,5974_ac_power_inv_14431,1.6,0.9895,2013,2016,4,1.0499999999999954
11670,37.295092,-121.89649,6.72,7.926,Csb,13063_ac_power_inv_23623,1.6,0.96,2015,2022,8,4.0000000000000036
10385,34.265003,-118.77177,6.25,7.8767,Csb,7086_ac_power_inv_14714,1.7,0.944,2010,2016,7,5.600000000000005
12085,34.265003,-118.77177,3.64,8.6657,Csb,7086_ac_power_inv_14714,1.7,0.944,2010,2016,7,5.600000000000005
12308,32.719601,-117.16246,4.95,8.178,Bsk,6792_ac_power_inv_13731,2.0,0.971,2015,2019,5,2.9000000000000026
10424,32.719601,-117.16246,5.85,5.3726,Bsk,6792_ac_power_inv_13731,2.0,0.971,2015,2019,5,2.9000000000000026
12023,34.122658,-118.11296,3.91,10.5123,Csb,5223_ac_power_inv_3338,2.1,0.97,2017,2019,3,3.0000000000000027
11577,34.101608,-118.05606,7.92,4.1287,Csb,5219_ac_power_inv_3319,2.2,0.975,2015,2019,5,2.500000000000002
10826,32.249551,-110.8878,10.2,7.9041,Bsh,5159_ac_power_inv_2715,2.3,0.988,2014,2022,9,1.200000000000001
11539,34.478797,-118.65255,5.61,6.6904,Csb,5116_ac_power_inv_2417,2.3,0.9684999999999999,2014,2021,8,3.1500000000000083
10817,33.581533,-117.72474,6.08,7.1287,Csa,5242_ac_power_inv_3584,2.5,0.985,2016,2022,7,1.5000000000000013
12028,33.581533,-117.72474,5.12,7.8986,Csa,5242_ac_power_inv_3584,2.5,0.985,2016,2022,7,1.5000000000000013
10415,33.601629,-117.639943,5.985,6.1616,Csa,5243_ac_power_inv_14967,2.8,0.978,2017,2022,6,2.200000000000002
11707,37.527237,-121.9679,6.37,10.5095,Csb,7085_ac_power_inv_14713,2.8,0.969,2008,2014,7,3.1000000000000028
10920,33.807761,-116.46473,6.7,7.3315,Bwh,5974_ac_power_inv_14431,2.8,0.9895,2013,2016,4,1.0499999999999954
10309,37.527237,-121.9679,8.25,10.4246,Csb,7085_ac_power_inv_14713,2.8,0.969,2008,2014,7,3.1000000000000028
10349,33.628273,-117.631338,10.464,9.9945,Csa,5244_ac_power_inv_3601,3.0,0.984,2016,2022,7,1.6000000000000014
10411,33.562698,-117.69941,7.8,9.1232,Csa,5242_ac_power_inv_3584,3.0,0.985,2016,2022,7,1.5000000000000013
10568,38.550098,-121.37492,5.72,4.6712,Csa,5311_ac_power_inv_6106,3.1,0.9755,2017,2022,6,2.4499999999999966
11687,33.615462,-117.64093,5.61,6.2657,Csa,5243_ac_power_inv_14967,3.2,0.978,2017,2022,6,2.200000000000002
10365,33.615462,-117.64093,8.71,9.9315,Csa,5243_ac_power_inv_14967,3.2,0.978,2017,2022,6,2.200000000000002
10664,34.253866,-118.752458,8.4,8.6246,Csb,7086_ac_power_inv_14714,3.3,0.944,2010,2016,7,5.600000000000005
10068,37.296355,-121.917905,3.675,12.0739,Csb,13063_ac_power_inv_23623,3.4,0.96,2015,2022,8,4.0000000000000036
11178,34.103187,-118.042869,7.26,5.8657,Csb,5219_ac_power_inv_3319,3.4,0.975,2015,2019,5,2.500000000000002
11927,34.481172,-118.42821,9.15,5.041,Csb,5277_ac_power_inv_4019,3.5,0.973,2016,2022,7,2.7000000000000024
10158,34.481172,-118.42821,5.88,11.5452,Csb,5277_ac_power_inv_4019,3.5,0.973,2016,2022,7,2.7000000000000024
10666,37.269343,-121.84939,6.71,8.6794,Csb,13063_ac_power_inv_23623,3.6,0.96,2015,2022,8,4.0000000000000036
10435,37.562218,-121.99433,6.16,9.1616,Csb,7085_ac_power_inv_14713,3.6,0.969,2008,2014,7,3.1000000000000028
11735,37.562218,-121.99433,8.96,9.0602,Csb,7085_ac_power_inv_14713,3.6,0.969,2008,2014,7,3.1000000000000028
11881,37.257643,-121.89072,5.5,9.052,Csb,13063_ac_power_inv_23623,3.7,0.96,2015,2022,8,4.0000000000000036
10192,37.269086,-121.912547,4.08,11.6054,Csb,13063_ac_power_inv_23623,3.7,0.96,2015,2022,8,4.0000000000000036
10420,37.257643,-121.89072,4.675,6.1616,Csb,13063_ac_power_inv_23623,3.7,0.96,2015,2022,8,4.0000000000000036
10975,34.050764,-117.25327,5.525,7.0273,Csa,7154_ac_power_inv_14845,3.9,0.934,2009,2017,9,6.599999999999994
10296,34.12716,-117.20073,5.12,6.3068,Csa,5421_ac_power_inv_6758,3.9,0.964,2018,2022,5,3.600000000000003
10588,33.958464,-118.30998,6.75,8.5808,Csb,5328_dc_power_inv_4559,4.2,0.9755,2017,2022,6,2.4499999999999966
10887,33.687407,-117.663295,6.6,7.6246,Csa,5244_ac_power_inv_3601,4.3,0.984,2016,2022,7,1.6000000000000014
10111,33.639994,-117.60351,7.68,10.1808,Csa,5244_ac_power_inv_3601,4.4,0.984,2016,2022,7,1.6000000000000014
12202,33.639994,-117.60351,6.555,7.7397,Csa,5244_ac_power_inv_3601,4.4,0.984,2016,2022,7,1.6000000000000014
11553,33.639994,-117.60351,9.24,7.3232,Csa,5244_ac_power_inv_3601,4.4,0.984,2016,2022,7,1.6000000000000014
11505,34.134719,-117.664475,4.07,4.3945,Csb,5285_ac_power_inv_4069,4.4,0.9604999999999999,2016,2021,6,3.950000000000009
10697,37.322031,-121.850327,5.355,7.8383,Csb,13063_ac_power_inv_23623,4.4,0.96,2015,2022,8,4.0000000000000036
11145,34.239503,-118.48224,6.6,5.9178,Csb,13193_dc_power_inv_25624,4.5,0.981,2016,2019,4,1.9000000000000017
10779,33.570763,-117.63463,4.48,8.1287,Csa,5243_ac_power_inv_14967,4.6,0.978,2017,2022,6,2.200000000000002
11557,33.570763,-117.63463,12.9,5.5917,Csa,5243_ac_power_inv_14967,4.6,0.978,2017,2022,6,2.200000000000002
10554,32.761791,-117.146557,7.29,9.0027,Bsk,6792_ac_power_inv_13731,4.7,0.971,2015,2019,5,2.9000000000000026
10587,32.761664,-117.146525,8.82,4.5561,Bsk,6792_ac_power_inv_13731,4.7,0.971,2015,2019,5,2.9000000000000026
10637,34.277648,-118.50047,11.772,8.7972,Csb,13193_dc_power_inv_25624,4.7,0.981,2016,2019,4,1.9000000000000017
10153,33.868412,-118.366253,4.08,10.0739,Csb,5327_ac_power_inv_4557,4.7,0.974,2017,2022,6,2.6000000000000023
